Case,Video,Alpha,Threshold,Size_MB,Total_Frames,Sent_Frames,Det_Frames,Baseline_Det_Frames,Sent_Ratio_Pct,Det_Recall_Pct
Proposed,VIRAT_S_000207_00_000000_000045.mp4,0.1,0.39,273.43,1350,1350,1350,1350,100.0,100.0
Proposed,VIRAT_S_000207_00_000000_000045.mp4,0.2,0.46,273.43,1350,1350,1350,1350,100.0,100.0
Baseline,VIRAT_S_000207_01_000094_000156.mp4,-,-,374.65,1848,1848,1848,1848,100.0,100.0
Uniform(Q20),VIRAT_S_000207_01_000094_000156.mp4,-,-,88.5,1848,1848,1848,1848,100.0,100.0
Proposed,VIRAT_S_000207_01_000094_000156.mp4,0.01,0.147,374.65,1848,1848,1848,1848,100.0,100.0
Proposed,VIRAT_S_000207_01_000094_000156.mp4,0.05,0.283,374.65,1848,1848,1848,1848,100.0,100.0
Proposed,VIRAT_S_000207_01_000094_000156.mp4,0.1,0.356,374.65,1848,1848,1848,1848,100.0,100.0
Proposed,VIRAT_S_000207_01_000094_000156.mp4,0.2,0.444,374.65,1848,1848,1848,1848,100.0,100.0
Baseline,VIRAT_S_000207_02_000498_000530.mp4,-,-,191.68,943,943,943,943,100.0,100.0
Uniform(Q20),VIRAT_S_000207_02_000498_000530.mp4,-,-,44.69,943,943,943,943,100.0,100.0
Proposed,VIRAT_S_000207_02_000498_000530.mp4,0.01,0.181,191.68,943,943,943,943,100.0,100.0
Proposed,VIRAT_S_000207_02_000498_000530.mp4,0.05,0.318,191.68,943,943,943,943,100.0,100.0
Proposed,VIRAT_S_000207_02_000498_000530.mp4,0.1,0.391,191.68,943,943,943,943,100.0,100.0
Proposed,VIRAT_S_000207_02_000498_000530.mp4,0.2,0.478,191.68,943,943,943,943,100.0,100.0
Baseline,VIRAT_S_000207_03_000556_000590.mp4,-,-,205.42,1020,1020,1020,1020,100.0,100.0
Uniform(Q20),VIRAT_S_000207_03_000556_000590.mp4,-,-,48.21,1020,1020,1020,1020,100.0,100.0
Proposed,VIRAT_S_000207_03_000556_000590.mp4,0.01,0.126,205.42,1020,1020,1020,1020,100.0,100.0
Proposed,VIRAT_S_000207_03_000556_000590.mp4,0.05,0.27,205.42,1020,1020,1020,1020,100.0,100.0
Proposed,VIRAT_S_000207_03_000556_000590.mp4,0.1,0.347,205.42,1020,1020,1020,1020,100.0,100.0
Proposed,VIRAT_S_000207_03_000556_000590.mp4,0.2,0.44,205.42,1020,1020,1020,1020,100.0,100.0
Baseline,VIRAT_S_000207_04_000902_000934.mp4,-,-,189.87,938,938,938,938,100.0,100.0
Uniform(Q20),VIRAT_S_000207_04_000902_000934.mp4,-,-,44.38,938,938,938,938,100.0,100.0
Proposed,VIRAT_S_000207_04_000902_000934.mp4,0.01,0.179,189.87,938,938,938,938,100.0,100.0
Proposed,VIRAT_S_000207_04_000902_000934.mp4,0.05,0.303,189.87,938,938,938,938,100.0,100.0
Proposed,VIRAT_S_000207_04_000902_000934.mp4,0.1,0.37,189.87,938,938,938,938,100.0,100.0
Proposed,VIRAT_S_000207_04_000902_000934.mp4,0.2,0.449,189.87,938,938,938,938,100.0,100.0
Baseline,VIRAT_S_000207_05_001125_001193.mp4,-,-,406.79,2032,2032,2032,2032,100.0,100.0
Uniform(Q20),VIRAT_S_000207_05_001125_001193.mp4,-,-,96.37,2032,2032,2032,2032,100.0,100.0
Proposed,VIRAT_S_000207_05_001125_001193.mp4,0.01,0.169,406.79,2032,2032,2032,2032,100.0,100.0
Proposed,VIRAT_S_000207_05_001125_001193.mp4,0.05,0.306,406.79,2032,2032,2032,2032,100.0,100.0
Proposed,VIRAT_S_000207_05_001125_001193.mp4,0.1,0.378,406.79,2032,2032,2032,2032,100.0,100.0
Proposed,VIRAT_S_000207_05_001125_001193.mp4,0.2,0.466,406.79,2032,2032,2032,2032,100.0,100.0
Baseline,VIRAT_S_010000_02_000388_000421.mp4,-,-,133.19,592,592,592,592,100.0,100.0
Uniform(Q20),VIRAT_S_010000_02_000388_000421.mp4,-,-,32.46,592,592,592,592,100.0,100.0
Proposed,VIRAT_S_010000_02_000388_000421.mp4,0.01,0.1,133.19,592,592,592,592,100.0,100.0
